	Title	ViewCount
7975	"""Stole"" my friend's excitement about a personal project - how to deal with the fallout"	21182.0
9194	How to ask for a wish from a woman?	21139.0
13084	How to tactfully communicate with ex-boyfriend about my personal choices?	21128.0
11042	Not having to explain my reasons for wanting to keep my last name	21110.0
3622	How do I respond when an acquaintance asks if I'm smart?	21095.0
13463	Covering for person who refuses to tip waiter without offending?	20974.0
576	Is it rude to drive at the speed limit on dangerous roads when another driver wants to go faster?	20895.0
10187	"How to approach discussion with wife about a possible ""emotional affair"""	20894.0
2788	Dealing with somebody who's ignoring my very existence	20824.0
5980	"Answer to: ""Why aren't you with your boyfriend right now?"""	20819.0
14040	How to defuse or prevent an adult temper tantrum	20766.0
4648	"Alternative to ""Get well soon"" card for terminally ill?"	20744.0
13932	My roommate is making me pay too much for rent. How should I confront him?	20738.0
12153	How can I invite my daughter's friends over without being odd?	20694.0
5791	How to turn down 'stay in touch' proposal from manipulative ex-coworker when leaving job/moving?	20632.0
13382	How can I make my girlfriend not to get fixated on false facts and listen for reasons?	20577.0
8655	How to determine if someone is busy or just doesn't want to spend time with me?	20400.0
8502	"How do I handle strangers who want to ""borrow"" a cigarette and give nothing in return?"	20346.0
7640	How to approach an inevitable breakup after sudden death in partner's family?	20333.0
11610	How to avoid explaining science to strangers	20331.0
14598	How to reduce the awkwardness on the way to the bedroom?	20330.0
13958	How can I stress to my brother the importance of saving when he relies on me as a safety net?	20292.0
8913	How to deal with someone who ignores your lack of knowledge?	20255.0
5370	How do I tell my teammate to stop replying to emails not addressed to him?	20253.0
8257	How do I approach telling my date that I won't lend her money?	20211.0
10169	How to politely deal with white people wanting to talk to me about racism/race issues	20154.0
14079	How to help significant other lose gracefully in games?	20102.0
6700	How to get my coworkers and family to respect my hobby	20064.0
3866	How to handle my girlfriend when she takes things wrong way?	20039.0
7433	Stopping a relationship with a good friend because It's too overwhelming and new for me	19963.0
6146	"How do I respond when someone answers 'Yes' when I ask ""Would anyone like the last [Item]?""?"	19904.0
11173	How can I tactfully interrupt a customer service representative over the phone?	19899.0
4763	How to deal with girlfriend cancelling weekends plan	19828.0
9746	How can I know whether a female house guest is interested in more than a friendly visit?	19798.0
11205	Appropriate response when someone announces pregnancy?	19675.0
4530	Parent asked grandparents to take the grandkids out of the will	19619.0
13969	How to interrupt someone while they are telling a group wrong/embarrassing information?	19571.0
7161	"Responding to being told to ""smile"" by a stranger?"	19558.0
7442	How to politely interrupt recruiters who keep cold-calling me during my work hours?	19496.0
847	Dealing with people who always try to prove you wrong in a conversation	19466.0
5204	What to do with a friend who cheats in games?	19453.0
7729	How can I convincingly communicate to a friend that I don't have a 'personal' mobile number?	19437.0
2948	How to get spouse to empathetically listen to problems instead of (or at least before!) offering solutions?	19391.0
12477	How to talk to a one night stand about her potential breast lumps issues?	19329.0
10498	How to deal with my boyfriend’s mother without affecting my relationship with him?	19315.0
10259	How do I politely indicate that I want to go home?	19294.0
14236	Politely ask a female friend to stop lying to me about her relationship	19289.0
4125	"How can I tell my boyfriend ""I told you so"" without sounding too full of myself?"	19248.0
6263	How to tell someone believing in pseudoscience & conspiracy theories is wrong without making them feel stupid/upset?	19081.0
8647	How can I tell my wife that her fears and mistrust are hurting us?	18789.0
9917	How do I tell someone I recently met that I am in a relationship?	18758.0
12660	How to ask my local baker if he is always selling freshly baked bread	18710.0
10753	How to politely tell a friend that I want to hang out with her, but not invite others?	18645.0
3042	Dealing with a person who continuously needs help	18630.0
1480	How do I deal with other people's screaming children in restaurants?	18531.0
1296	Is it rude to ask tourists where they are from?	18505.0
2681	How to get friends/partner to stop texting me pointless pictures/videos	18483.0
5610	My cousin doesn't know that I know he received money that belongs to me - how do I approach him about receiving the money?	18470.0
11398	How to politely request we don't eat out for lunch on my first day at new job?	18457.0
5263	Meeting someone who used to bully me	18455.0
10956	How do I ask for an espresso if there's a good chance they don't know how to make it?	18449.0
2846	Is it rude to ask someone where they are from originally?	18380.0
811	How to ask my father in law to stop entering our house unannounced?	18346.0
12737	"How to negotiate with landlady in a shared home who flat out says ""no""?"	18304.0
5446	Apologizing when you've hurt a stranger's feelings badly	18238.0
7984	Responding to my mom's remarks about my love life when she refuses to accept/acknowledge it	18196.0
8319	How to stop a colleague from talking to me about work when I'm on my lunch break?	18193.0
11229	How to introduce metamours without causing awkwardness?	18151.0
2825	What is the etiquette for asking a dog owner before I pet their dog?	18146.0
1835	Is it rude to ask if a pregnancy was planned?	18137.0
1235	How to act when people bring a baby to work?	18071.0
10553	How can I ask if something's free, without looking stingy?	18039.0
1528	What to do if I suspect my friend is stealing from me?	17997.0
9986	How do I answer a question about not enjoying a party without revealing sensitive information	17961.0
4897	How can I convince my significant other to stop double standards?	17873.0
1626	"How can I tell non-parents, ""Wait and see until you have kids"" without being cliché and obnoxious?"	17754.0
7965	"How to tell a ""friend"" to stop pretending to flirt with my girlfriend?"	17716.0
11854	Responding to people questioning my single status?	17688.0
12463	Same Gender Friends-with-Benefits	17588.0
8997	How to improve my ways when teaching my wife	17484.0
9876	How to tell a trans couple that their overly romantic behaviour makes you uncomfortable, without coming across transphobic?	17470.0
11757	How do I avoid strange questions because of a flag?	17465.0
4859	Angry at me for not coming over	17336.0
12028	How to politely reject a rude advice giver at the gym that won't take it well anyways	17320.0
9121	How to handle my girlfriend's parents' attitude to asking her for money?	17280.0
7092	How to stop people from touching me without having to freak out at them	17129.0
11997	"Saying ""No"" to my brother's demand without causing an argument"	17039.0
5162	How do you politely stand your ground against authority who repeatedly press a question that you declined to answer?	16910.0
7992	How to talk to someone about being chronically late - not to fix it, just to get more accurate ETAs?	16810.0
2261	How to handle very opinionated and aggressive friend?	16753.0
12420	How can I ask my husband about his work progress without him becoming defensive?	16737.0
3028	How to react when someone rudely rejects your advice at the gym when they clearly need it	16729.0
9392	How can I politely refuse to help classmates with their work?	16706.0
11214	How to discuss girlfriend's weight loss plans?	16702.0
978	How can I politely tell someone I won't do my job for free?	16646.0
2432	Refusing free goods as a blind person	16644.0
4079	"How can I stop my friend from replying ""anything"" when asking them what they'd like to eat?"	16555.0
6944	How to ask a new friend about his sexuality?	16409.0
11632	How to stop classmate from bullying me	16392.0
11001	How can I effectively tell people that their defensiveness over me bringing up an issue is part of the issue?	16326.0
4186	Asking waiters to let you eat in peace	16187.0
10515	How can I ask (or determine) if someone on the phone is human without offending them?	16185.0
1078	How should one respond to trivial, obvious questions?	16161.0
10816	How to kill off my DnD character, without upsetting the Dungeon Master who has invested time into creating his backstory?	16158.0
4233	How do I respond to catching someone in an embarrassing situation?	16155.0
1754	My best friend has become increasingly xenophobic towards Muslims. What do I do?	16151.0
12219	"How can I ensure people know 'What happens on the pitch stays on the pitch"""	16148.0
10809	"How to stop a friend from being ""touchy-feely"" towards me?"	16122.0
11689	How can I check the time on my smartphone without looking self-important?	16122.0
9343	I dreamed you did so and so. Why did you do that? - How to react?	16097.0
12441	How to get across to flatmates the reason behind not wanting to live with them again?	16030.0
7678	Stepmother wants me to sign for life insurance without consulting a lawyer, how do I tell her that I will only do this after talking to one?	16012.0
11299	How can I deny a request from the mother of my girlfriend to tag along on our road trip?	16009.0
2023	What could you possibly say to a friend who cooked a meal you didn't enjoy at all?	15950.0
8383	How do I get someone to call me by the name I prefer?	15886.0
6389	How to convince my parents I'm happy with my social life?	15850.0
832	How to tell friends something goes against my religion?	15845.0
2924	"How to tell a non-muslim friend that ""Inter-faith Marriage not gonna work""?"	15761.0
14512	How to communicate to my aunt that she made an honest mistake when buying food for a family meal?	15733.0
12291	Girlfriend feels she distracts me with her texts, any good way to prove otherwise?	15720.0
8434	How do I tell my mother that I'm an atheist?	15649.0
13728	How to try to get my neighbour to park their car in their assigned spot?	15505.0
4948	"How does one respond to statements like ""It's all yours""?"	15482.0
4046	How to redirect a real-life help vampire to an alternate source of food... um... assistance?	15474.0
10648	How do I tell a woman that her pants have a menstruation stain?	15335.0
9879	How avoid a question about women being loyal housewives?	15308.0
9597	Witnessed a woman being abused (groped) in a nightclub	15291.0
12427	How to have dinner without romance involved	15131.0
5497	Politely telling an incompetent software project volunteer they are too inexperienced	15099.0
5615	How can I tell my friend I don't like the state of our friendship?	15059.0
8821	"Boyfriend always responds ""I didn't mean to"" when he gets feedback"	15019.0
12196	Asking guys to quit shouting in a bar	14996.0
8563	Locking up around workmen	14962.0
8607	How do I politely ask my friend for a refund on unused rent?	14844.0
1914	How to avoid a very talkative cleaning lady?	14841.0
1998	How to handle unwanted touching from my partner's friend during conversations?	14827.0
7605	How to invite terminal ill / very sick friends to a party?	14822.0
13047	How to help a friend through a rough breakup when his actions are testing the limits of my patience?	14818.0
2237	Who should identify themself first on the phone: the caller or the person called?	14769.0
3236	"A server in a restaurant got offended when we addressed him as ""Uncle"""	14678.0
4718	How to ask a friend to stop joking about a nonexistent relationship between other friend and me?	14579.0
2782	Should I monetarily reward the person who found my phone?	14539.0
5421	Which pitfalls should I watch out for when meeting my half-brother who hasn't been aware of my existence for 25 years?	14502.0
4791	How do I politely tell a stranger to stop making annoying noises I can't name?	14432.0
8835	How do I treat my friends to something without it being awkward?	14410.0
14173	Offering to share my umbrella without sounding creepy	14387.0
10573	How to effectively give out a last warning?	14376.0
3974	How do I announce my presence to someone who is not aware of it without frightening them?	14326.0
11090	How to inform my parents that I didn't like their less than desireable response to my good news?	14278.0
12653	How can I explain to a friend's child that I don't like sleepovers without parents?	14275.0
14654	How to approach a friend about his girlfriend asking to sleep with me?	14270.0
7419	How to tell someone they're not welcome at an event you organise	14259.0
4833	How can I ask my guests to leave?	14224.0
12586	Talking to boyfriend about his close female friends	14221.0
7820	How do I tell a potential partner about my autism?	14201.0
1627	Why are people unwilling to share information about their salary?	14187.0
9455	How can I suggest to someone that he may potentially be colourblind?	14181.0
12174	How do I tell between compliments and 'ball' jokes while juggling?	14154.0
6352	How do I tell my close-ones that I don't appreciate it when they say I look like a bird?	14132.0
1554	How to avoid an awkward situation when someone just thoroughly slammed something you like?	14105.0
9152	How to politely deflect questions about awkward scars?	14096.0
2695	How to behave at a work organized drinking event as a non drinker?	14091.0
3863	Convince somebody to stop flirting with me	14087.0
10870	How to ask why I was not included without causing a scene?	14077.0
13117	Dealing with small crimes as a volunteer	14062.0
10414	"How to reply to ""Drive/Travel Safe""?"	14009.0
10706	How do I convince my Mom I’m not inviting my brother to someone else’s bachelor party?	14006.0
3091	"I sent an interesting link to a friend that he didn't ask for at all, and he replied with ""thank you"" - what should I reply?"	13978.0
6649	"How do I tell my parents ""I don't want to go to church"" over the holidays?"	13961.0
3915	"Is there a polite way to ask a kid to ""move along""?"	13892.0
12902	Is adding “let me know if anything is unclear” to an e-mail really necessary or is it redundant?	13883.0
11705	How can I tell someone that I am glad to be leaving them without sounding petty?	13865.0
13603	How to explain to coworkers that being vegan does not mean I know everything about it?	13769.0
4290	How to respond when people mock a skill or talent they just found out you do/have?	13747.0
4352	How to approach my spouse about their weight gain?	13666.0
9482	How to use Social Penetration Theory to increase closeness with someone who doesn't normally talk about their feelings	13663.0
12520	How to explain that we are not comfortable with a new boyfriend staying at our house?	13639.0
11571	How to tell boss about pregnancy?	13616.0
13201	How to answer a technical question without sounding patronizing	13583.0
9907	How can I convince my neighbour to stop feeding my cat (I've already asked twice)?	13533.0
3392	How to deal with a friend I live with who doesn't want to pay bills when he's not there?	13510.0
9029	How to tactfully acknowledge a woman on Women's Day?	13481.0
7422	How do I effectively get people to look past my age when considering my abilities, if they know how old I am?	13450.0
8766	Dad wants me to invite his mother to my wedding. How to push it back?	13386.0
9699	How do you deal with someone who's pushing you without explaining yourself?	13379.0
5399	Dealing with / extricating yourself from having to listen to a superior's xenophobic rants	13364.0
5628	How can I tell my mom to not cause herself so much stress when I'm visiting?	13331.0
970	How do I indicate interest in going somewhere without inviting myself along?	13312.0
11947	"Childhood friend wants to get a ""best friends"" tattoo but I do not think it is a good idea"	13301.0
9127	How to tactfully ask a housemate to leave	13156.0
7519	How to tell a colleague to take care of how he looks	13083.0
13343	Asking out an intern at close of internship	13082.0
6940	How can I convince my brother to take up programming?	12976.0
963	How can I politely ask someone to get off their phone?	12943.0
6129	Colleague thinks that he is too slow	12939.0
11040	How can I tactfully refuse to let someone cut in line?	12931.0
7375	Dealing with a friend trying to get me a girlfriend	12867.0
9774	What is the current etiquette in the US and UK regarding a man holding doors for female companions?	12863.0
3241	Afraid of losing best friends, how can I tell them?	12842.0
1538	How do I respond when someone is glad their loved one's suffering will end soon due to death?	12832.0
13015	Reclaiming my desk fan when the office I lent it to is also really hot	12800.0
12575	How can a girl ask a heavily tattooed, tall man who jumped the line, to get in line?	12773.0
14147	How to say no to an extremely pushy friend	12771.0
2304	"In an online conversation, is it okay to use ""guys"" to address everyone?"	12770.0
10388	How can I politely find out the gender of a potential roommate via email?	12761.0
4426	Politest way to stress I do not wish to eat something?	12649.0
1110	How can I remind someone to do a task when reminding them makes them less likely to do it?	12616.0
4282	How to respond to someone who asks if they will be invited to your wedding?	12612.0
6815	Is it socially acceptable to dismiss a compliment?	12599.0
11847	How to inform guests when you don't have enough food for everyone?	12500.0
3504	"How can I talk to my boyfriend about chores ""sharing""?"	12489.0
10945	"How to respond to ""empty compliments"" after many years of playing along?"	12486.0
10513	Are there any ways to avoid unwanted approaches when not wearing a wedding ring?	12474.0
4310	How to ask a friend to remove/not post photos of me on social media?	12452.0
5284	How can I politely say to my coworker that he should not comment on what I am eating	12443.0
11824	How do I convince my parents that I'm doing my best in class?	12424.0
6571	How can I try to have my mom help me understand why she won't accept a sincere apology?	12384.0
5797	What do you do if someone is telling you something you already know about, such as a fact or something that happened?	12376.0
5286	How to politely handle support requests which lack some basic understanding?	12375.0
4267	"How to approach the situation where someone ""steals"" your table?"	12323.0
11865	How to suggest someone to find a hobby without offending them?	12320.0
2449	"How to avoid ""who are you?"" as a response to ""how are you?"""	12304.0
11784	How can I play the devil's advocate in politics without being attacked?	12290.0
11674	How to politely communicate to a friend I don't want to host him at my place any more?	12286.0
14556	How should I ask people to stop over explaining things?	12241.0
6007	How to respond to questions that feel like I have to defend the relationship I'm in	12224.0
3921	How should I respond when someone makes a self-deprecating remark about her look?	12221.0
3378	How do I deal with people who can't deal with local payment customs?	12197.0
12999	Household chores in long distance relationship	12185.0
666	How to deal with a dangerous, developmentally disabled person I can not avoid?	12145.0
4540	How to intervene in a random abuse/harassment situation?	12087.0
9572	How can I address a man talking inappropriately about women?	12013.0
7918	How to contact a girl whose number I got from somebody else?	11961.0
14441	I forgot my friend's birthday, how can I convince him to forgive me?	11917.0
3784	How can I tell a friend they need to help with what they promised because what they promised can't wait?	11916.0
7618	How do I politely tell my coworker he can do the work himself?	11915.0
2262	How to survive as a notter where it is not the norm?	11915.0
8495	How to stop dad from telling the same jokes again and again?	11890.0
744	"How to say ""I'm an adult now"" to my parents?"	11863.0
7716	Asking a girl whether she would like to dance with me	11822.0
10364	Rebuffing a former friend's (now a convicted criminal) attempts to restore friendship	11800.0
3818	Do we need good fences to make good neighbors?	11781.0
14246	How to respond to someone who wants to know my dark side and wild things that I have done?	11749.0
4775	Co-tenants set up an inflatable pool outside my window. It's now breeding bugs. What can I do?	11721.0
3461	Can I correct other people's children in front of them?	11695.0
2713	Is it rude to offer my seat up on public transit to someone who is much older than me but not yet a senior?	11692.0
10620	How to deal with strong political disagreements with my sensitive girlfriend?	11686.0
6240	How do I ask for a receipt without implying distrust?	11677.0
9051	Can my sister convey to her womanizer boss by her body language and general behavior that she is not 'available' for an 'office romance'?	11667.0
5742	How can I ask my parents to stop calling me when I'm out or ask me where I'm going?	11632.0
2251	How do I say no to a stranger asking to borrow my bicycle for a minute?	11630.0
5155	How can I react better if someone confesses their identity that I have little or no knowledge of?	11626.0
10670	How to tell someone to be quiet immediately while listening to an announcement?	11610.0
1844	How do I tell other parents that their child is a bully?	11578.0
10858	How to tell my GF I'm willing to listen her, but leaving her the option to say no?	11531.0
7771	How to remark politely that you are not an idiot, just not fluent on english language?	11525.0
6783	How best to tell a parent I wish to stop tutoring her son?	11496.0
8212	How do I convince someone formalities between internet friends aren't necessary over a casual, informal text chat?	11496.0
5856	How can we tell a divorced friend that his ex has moved on, and appears to have a boyfriend?	11486.0
2160	How to gently tell someone that you just want to be friends?	11422.0
8710	How can I stand by my SO when she stresses out in an aggressive way?	11418.0
6364	How to respond when someone tells you about their failure	11364.0
3356	How to ask someone to stop playing music without sounding religious?	11354.0
6488	How to tell someone I'm uninterested in them romantically?	11138.0
2072	How to confront friend who won't give back borrowed money?	11138.0
5715	How can I get my sister to stop asking me to help her smoke?	11096.0
6120	How to respond to an unfalsifiable accusation?	11077.0
7110	How do I deal with a client who doesn't respect me?	11072.0
14461	How do I prevent people from repeating to others everything I say to them?	11069.0
7961	My sister has an alcohol and drug addiction. How can I get people to stop asking me about her?	11033.0
12841	How do I reject helping my neighbour who constantly asks me for little favours?	11009.0
7066	How can I help my Significant Other to overcome his fear particularly when I don't understand it?	10969.0
1234	How to permanently leave a group activity without insulting a friend	10967.0
8379	How to convince my girlfriend to let me pay for her?	10939.0
12398	How can I ask a new date to not smoke around me, or at least gauge how such a request would go down?	10906.0
2064	How to tell family members that they should not downplay your major?	10896.0
14649	How do you tell a Facebook friend that they might be on the autism spectrum?	10867.0
3090	How to politely tell my roommates that I don't want to spend time with them?	10850.0
4652	My grandmother doesn't talk or communicate any more. How can I be good company to her?	10839.0
6256	How to tell someone not to start a business?	10834.0
11332	How to imply that the gift is meant for the two of us	10831.0
114	How to politely decline an opportunity to be involved in a pyramid scheme?	10826.0
4506	How to apologize for sexual harassment in the past?	10825.0
3644	How can I politely tell my fellow tenants that I am not the caretaker?	10815.0
6538	How to ask to pay for products from a friend's shop rather than accepting them as gifts without being rude?	10805.0
12666	How to tell a classmate I don’t want to give him a contact for an internship?	10775.0
12889	Encouraging bystanders to step up	10756.0
3609	How do I address my mother's concerns about my boyfriend's smoking?	10749.0
4988	How to help my girlfriend if she gets greatly depressed over small things?	10748.0
10802	Asking someone to stop something that is technically illegal but don't want to seem like I'm hiding something	10679.0
6092	How can I express my concerns about my underage brother drinking alcoholic beverages to him without sounding like I'm his mom?	10678.0
8554	How can I find out what surprise my wife wants?	10663.0
13404	How can I help a close friend get over me?	10657.0
11912	How to nudge girlfriend to find something meaningful during her summer holidays?	10624.0
13885	How to tell someone they should honour their bid on my item?	10615.0
4868	When someone states a view I don't agree with, and asks for confirmation, how to avoid giving it without triggering a debate?	10515.0
3148	How to politely receive someone when you don't know how to pronounce their name?	10473.0
2464	How should I respond to someone cleaning my house without me asking?	10400.0
5669	How can I talk to my Partner about what she would rather do?	10386.0
13860	How can I get my friend to stop calling me every day?	10326.0
11598	How to introduce yourself to a friend of a friend?	10316.0
1953	How do I correct my daughter's teacher's grammar?	10313.0
619	How to reply to a message or email after a long delay?	10306.0
12294	How do I tell my friends that I want to be included in activities beyond our gaming sessions without alienating them?	10289.0
6174	How do I approach the issue of someone reading what's on my phone when I'm on public transportation with them?	10242.0
1882	Why is a 'good' handshake important?	10229.0
10071	How do I communicate gracefully to coworkers that they are accidentally misgendering me?	10205.0
12577	How can I handle a co-worker awkwardly forcing herself into conversations?	10203.0
2937	What is the most respectful way to respond when invited into a prayer circle or other religious activity I don't believe in?	10139.0
8569	How to politely decline painting requests from co-workers?	10132.0
6340	How can I recognise that I am teasing someone too much without verbal feedback from that person?	10130.0
10829	How do I respond to someone apologizing for coughing/yawning?	10074.0
13549	How do you deal with colleagues and people around you constantly passing judgement on you for not knowing something?	10049.0
8180	How to tell my usual plumber their service isn’t needed any more?	10045.0
5146	Handling questions about new tattoo from friends and coworkers	9968.0
